loss,id
1506.8416748,4
1994.9621582,6
9002.5546875,9
6055.39453125,12
818.743041992,15
2392.83349609,17
2017.86523438,21
883.330444336,28
2485.86132812,32
3179.3984375,43
2964.39208984,46
970.096801758,50
1239.0871582,54
1863.58935547,62
2297.19799805,70
5032.74707031,71
2069.3605957,75
2476.17993164,77
2564.73168945,81
2378.44506836,83
1959.21337891,87
1676.38305664,97
1164.37597656,103
1111.64282227,119
2012.39916992,120
984.994262695,127
4250.73925781,138
3819.95703125,141
736.337646484,148
2525.13720703,150
2148.12084961,151
1567.08496094,158
5486.45654297,160
2755.49438477,165
3727.1418457,168
3829.29150391,169
2805.01123047,177
2999.81567383,178
2135.81665039,184
9329.20019531,194
1803.9197998,198
3631.91357422,203
2336.53540039,211
1275.75646973,217
1424.10339355,219
4581.28027344,221
1663.59008789,227
1664.88439941,230
2209.10180664,235
686.190124512,240
3047.80712891,243
7561.65722656,249
2744.91552734,253
1499.49267578,258
1662.25854492,261
3570.80053711,263
2425.67211914,264
4016.625,265
1765.01147461,268
1138.01013184,271
5608.75683594,274
692.471374512,275
1489.31176758,279
1747.34204102,282
3271.71118164,286
1105.55761719,288
1979.40795898,294
975.898071289,296
1201.30627441,297
833.742797852,300
8091.61230469,303
1091.07617188,314
4555.80908203,315
2439.03735352,321
4099.14648438,323
3693.42333984,330
1848.68383789,341
4346.32861328,342
1552.45739746,352
3530.73120117,353
4894.52197266,360
2194.67773438,361
4129.37109375,362
1388.35754395,366
3490.86938477,372
2734.01074219,376
2234.79858398,377
1666.83825684,379
3986.59277344,380
1867.79321289,387
2001.19555664,392
10382.1396484,394
1599.90661621,395
1530.23706055,397
5917.04785156,407
8730.20507812,411
2657.70092773,416
1544.14916992,417
3745.51391602,419
5434.00976562,428
1812.82421875,431
8388.00488281,436
1544.61169434,438
6663.21923828,445
7336.27685547,446
1177.36975098,455
1414.99914551,456
935.443481445,461
1902.07666016,463
3783.07055664,464
1796.19482422,466
1393.39379883,467
1262.47033691,470
1482.90307617,475
3062.94799805,482
3579.37255859,490
1836.66235352,496
4194.15283203,497
2802.90576172,508
1873.953125,510
1944.06689453,512
3306.48291016,513
1681.7779541,523
4846.66357422,531
2374.67578125,532
1426.44067383,533
1201.33032227,537
4663.69384766,544
2622.86352539,547
7672.92333984,556
1375.89990234,565
1265.23803711,566
1410.65710449,571
1621.12158203,573
941.471435547,574
1961.9362793,581
1953.59912109,585
2038.45361328,589
1700.70410156,597
3709.65332031,601
1821.31506348,602
1492.41174316,613
1517.96130371,616
2210.28173828,619
2086.92285156,622
1815.59216309,623
1552.05639648,629
1579.95275879,634
958.927856445,638
1109.26513672,642
2010.46728516,643
959.270629883,645
6340.78417969,648
1208.38354492,652
1083.70410156,664
2243.75366211,666
908.018676758,672
2148.24414062,676
3960.78857422,678
1879.61254883,682
2749.05664062,686
2217.91381836,688
1279.29187012,689
1784.94519043,690
12042.5400391,692
1720.77661133,695
4247.38720703,697
2153.94262695,698
2633.2253418,706
1518.21936035,708
2971.38598633,712
4510.08984375,715
1361.48950195,717
3289.13012695,725
1150.95263672,729
1428.46618652,737
5700.01757812,739
3370.85083008,747
2648.99609375,753
2157.90698242,758
2292.27807617,759
1468.87927246,763
4258.828125,773
2080.38061523,774
1524.14819336,776
3203.9519043,788
2615.93847656,790
1038.57165527,794
3025.33959961,801
1519.56188965,802
1269.09838867,805
5197.84863281,809
1717.38537598,812
2341.57788086,825
2320.41064453,828
1558.81311035,830
1195.83239746,833
6102.40625,850
5763.48828125,852
1478.6081543,862
1339.46459961,863
1463.08642578,864
3636.17700195,865
6282.73291016,868
1483.47131348,872
5129.98828125,879
1510.63867188,880
1301.43786621,883
1427.16369629,886
1713.75354004,923
1489.0,924
1371.25830078,932
6238.85107422,945
6578.33300781,947
2166.90991211,948
2945.39501953,955
4126.90283203,963
1580.32116699,979
1499.80395508,989
3135.16040039,994
1768.07507324,995
1450.72583008,998
4115.36816406,1000
1753.38708496,1018
1726.96069336,1019
1710.49133301,1028
1356.04504395,1034
1626.9552002,1038
1365.6706543,1040
1351.0625,1042
6921.74316406,1057
2273.47021484,1058
1038.58166504,1063
4607.3828125,1066
4215.01269531,1071
3985.02392578,1073
3091.30395508,1074
2757.71191406,1077
9022.85839844,1080
851.872070312,1088
799.012573242,1096
11618.2177734,1097
5532.09423828,1105
1869.14746094,1115
3085.47387695,1116
2407.83789062,1122
4896.08154297,1130
1055.2755127,1133
1855.87548828,1137
2102.40649414,1140
7545.46337891,1143
4770.89599609,1149
954.6171875,1150
769.685424805,1153
881.7890625,1157
640.537231445,1180
832.118408203,1183
1598.93359375,1188
1139.50463867,1193
745.196838379,1200
3822.01245117,1209
1959.15380859,1214
1991.95947266,1219
6087.26025391,1223
843.966064453,1227
1658.71789551,1228
4760.93164062,1229
1019.59326172,1233
6488.56787109,1238
1877.27661133,1239
3233.85717773,1241
1742.32592773,1243
1219.70239258,1244
3403.87182617,1245
4460.53759766,1277
3338.22338867,1279
10494.3779297,1292
1351.34057617,1293
8863.68457031,1299
2851.74829102,1304
3704.00488281,1313
2258.05126953,1328
1049.07006836,1330
1524.94836426,1334
1293.64355469,1335
6189.40722656,1336
1066.05078125,1341
1144.79858398,1344
831.344604492,1351
2679.39599609,1352
1503.38452148,1354
4026.91210938,1368
1421.05029297,1373
674.848510742,1375
1642.56213379,1381
4842.72802734,1384
4206.25097656,1385
5804.63427734,1388
5137.44482422,1401
2574.50708008,1402
1542.50830078,1404
1475.71630859,1406
1106.88928223,1409
1505.08056641,1422
3169.73095703,1429
5601.52099609,1433
1078.61169434,1438
1206.75720215,1444
1135.69555664,1446
