loss,id
1554.02832031,4
2030.0925293,6
8275.98828125,9
6191.88867188,12
838.954589844,15
2500.59082031,17
2141.64233398,21
851.177124023,28
2448.14086914,32
3291.92333984,43
3142.32080078,46
1006.63171387,50
1275.88720703,54
2029.19824219,62
2305.30078125,70
5080.83789062,71
2087.92675781,75
2401.01855469,77
2847.69433594,81
2390.44042969,83
2009.31445312,87
1457.52246094,97
1250.14831543,103
1175.00830078,119
1958.14208984,120
1037.33776855,127
4245.34863281,138
3955.99707031,141
703.355102539,148
2651.56835938,150
2182.48828125,151
1660.8996582,158
5535.00146484,160
2698.91723633,165
3717.13134766,168
4082.17382812,169
2925.60327148,177
2943.44360352,178
2075.70605469,184
9798.69726562,194
1927.11743164,198
3649.60400391,203
2424.93481445,211
1292.1373291,217
1468.46557617,219
4538.93408203,221
1767.97070312,227
1695.69311523,230
2513.92041016,235
722.092773438,240
2996.09301758,243
6884.60693359,249
2876.26953125,253
1517.33007812,258
1727.62719727,261
3622.77392578,263
2458.30786133,264
4315.77783203,265
1882.71875,268
1185.58630371,271
5808.35400391,274
720.258300781,275
1510.25024414,279
1752.94384766,282
3188.85888672,286
1160.33166504,288
2143.70141602,294
1025.5736084,296
1264.67138672,297
846.591308594,300
8368.37011719,303
1242.92712402,314
4586.78515625,315
2555.85473633,321
4357.06005859,323
3688.29833984,330
1873.64477539,341
4210.27148438,342
1607.80224609,352
3625.07519531,353
4640.56640625,360
2192.63598633,361
4092.83056641,362
1347.99707031,366
3407.38330078,372
2790.32836914,376
2355.64770508,377
1687.68823242,379
3952.29980469,380
1808.56225586,387
2025.51147461,392
9815.02050781,394
1592.78198242,395
1502.73583984,397
6064.28125,407
10062.9599609,411
2627.8815918,416
1550.11621094,417
3928.99023438,419
5291.64941406,428
1836.3684082,431
8092.28320312,436
1638.38208008,438
6642.97070312,445
7385.80761719,446
1242.86499023,455
1483.25024414,456
939.802124023,461
1954.81445312,463
3878.5,464
1865.76342773,466
1481.34716797,467
1305.47131348,470
1507.52954102,475
2995.97314453,482
3613.36816406,490
1812.36889648,496
4163.30419922,497
2876.86303711,508
1953.85229492,510
1910.89379883,512
3393.72729492,513
1829.66967773,523
4828.36376953,531
2441.7043457,532
1441.49829102,533
1239.21276855,537
4666.70703125,544
2815.36254883,547
7703.1640625,556
1348.52734375,565
1240.65576172,566
1481.52490234,571
1603.91455078,573
962.303100586,574
2171.21777344,581
2015.26757812,585
1942.35424805,589
1700.26806641,597
3978.24267578,601
1851.12158203,602
1630.11987305,613
1544.13183594,616
2293.78979492,619
2241.52490234,622
2023.44580078,623
1584.44018555,629
1642.65771484,634
993.703491211,638
1153.9354248,642
2054.77246094,643
1005.94824219,645
6875.04296875,648
1351.07373047,652
1137.40930176,664
2166.99707031,666
936.078979492,672
2153.76831055,676
4168.08349609,678
1933.30053711,682
2958.19189453,686
2110.54321289,688
1276.3828125,689
1824.28955078,690
12503.0996094,692
1766.42138672,695
4275.34472656,697
2183.96484375,698
2664.83374023,706
1523.56420898,708
2963.97045898,712
4503.10888672,715
1385.09960938,717
3252.3527832,725
1193.84570312,729
1566.6105957,737
6025.859375,739
3367.11791992,747
2782.84692383,753
2083.30297852,758
2259.8918457,759
1482.0534668,763
4486.11669922,773
2154.4597168,774
1588.72949219,776
3255.38452148,788
2849.88745117,790
1101.36633301,794
2923.97851562,801
1600.38745117,802
1230.73620605,805
4844.79003906,809
1672.41601562,812
2454.01269531,825
2438.68286133,828
1479.88818359,830
1255.453125,833
6622.63476562,850
5717.0703125,852
1540.85009766,862
1389.69628906,863
1472.46777344,864
3443.53955078,865
6509.95361328,868
1543.78076172,872
5261.17382812,879
1529.99047852,880
1335.88171387,883
1509.40917969,886
1815.81665039,923
1493.43896484,924
1458.00805664,932
6278.87597656,945
6247.87695312,947
2179.62817383,948
3106.83203125,955
4182.72021484,963
1590.48510742,979
1465.38134766,989
3133.64257812,994
1804.60473633,995
1398.97558594,998
4095.06152344,1000
1729.03417969,1018
1911.3605957,1019
1731.85253906,1028
1386.52587891,1034
1588.0300293,1038
1413.89135742,1040
1342.42370605,1042
6798.35253906,1057
2249.74438477,1058
1048.29333496,1063
4667.72558594,1066
4311.69921875,1071
4204.23876953,1073
3100.52734375,1074
2860.18725586,1077
9107.34179688,1080
906.778686523,1088
799.856445312,1096
11518.546875,1097
5606.0078125,1105
1907.62524414,1115
3168.02001953,1116
2490.12329102,1122
5002.92285156,1130
1009.54187012,1133
1898.4934082,1137
1954.93457031,1140
7392.44238281,1143
4717.88476562,1149
924.829956055,1150
771.769775391,1153
923.085327148,1157
628.386108398,1180
850.847290039,1183
1580.16088867,1188
1169.83959961,1193
798.418823242,1200
3911.33007812,1209
2002.33422852,1214
2134.7890625,1219
6499.81201172,1223
891.617553711,1227
1614.09765625,1228
